Listagem de Produtos

Filtros Aplicados: «Estado Produto» = 'Normal' E «Código» > '0' 
Farmácia: Vitorino	Contribuinte:	516877160

Avenida Bernardo Santareno, 24

Cód.	Cod. Gr. Hom.	Designação	DCI	Forma Farmac.	Gen.	Desc. Grupo Homogéneo	Laboratório	Posologia	PVP	Titular AIM	Classificação
2000990	GH0000	LEITE MAG PHILIPS SUSP OR 200 ML	Hidróxido de magnésio	Suspensão oral	NÃO	Não atribuido	Omega-Pharma Portuguesa, Lda	Antiácido - Adultos, idosos e crianças > 12 anos: 5 a 10 ml; Dose máxima diária 	12,00	Perrigo Portugal, Lda.	NETT
2003093	GH0000	BEBEGEL ENEMA X 6	Glicerol	Gel retal	NÃO	Não atribuido	Meda Pharma - Produtos Farmacêuticos, S. A.	Lactentes (1 mês a 12 meses de idade): 1 cânula por dia. Não utilizar mais de 3 	4,90	BGP Products, Unipessoal Lda.	NETT
2003499	GH0000	BENADERMA GEL 2% 50 G	Difenidramina	Gel	NÃO	Não atribuido	 	Aplicar 3-4 x/dia, desde que as áreas afetadas não estejam escoriadas ou com 	9,80	Generis Farmacêutica, S.A.	NETT
2008290	GH0000	DIACOL XAR 200 ML	Dextrometorfano	Xarope	NÃO	Não atribuido	Omega-Pharma Portuguesa, Lda	Adultos, adolescentes e idosos: 15 ml a cada 6 a 8 horas (Dose máx diária 60ml). 	6,95	Bial - Portela & Cª, S.A.	NETT
2009785	GH0000	FINALGON PDA 0,4% 20 G	Nicoboxil + Nonivamida	Pomada	NÃO	Não atribuido	 	Adultos: aplicar a pomada, com o aplicador junto sobre a pele da região 	11,95	Opella Healthcare Portugal, Unipessoal Lda	NETT
2014892	GH0000	MELHORAL ADULTO COMP X 20	Ácido acetilsalicílico + Cafeína	Comprimido	NÃO	Não atribuido	Omega-Pharma Portuguesa, Lda	Adultos: 1 a 2 comp. 1 a 3 x/dia.Tomar os comprimidos com água. Pode ser 	4,60	Uriach Lusa S.A.	NETT
4537692	GH0000	BROMALEX COMP 1,5 MG X 40	Bromazepam	Comprimido	NÃO	Não atribuido	 	Adultos – Ambulatório: 1,5 a 3 mg, 1 a 3 x/dia; Internamento: 6 a 12 mg , 1 a 3 	3,01	Faes Farma Portugal, S.A.	Éticos
4537791	GH0000	BROMALEX COMP 3 MG X 20	Bromazepam	Comprimido	NÃO	Não atribuido	 	Adultos – Ambulatório: 1,5 a 3 mg, 1 a 3 x/dia; Internamento: 6 a 12 mg , 1 a 3 	2,22	Faes Farma Portugal, S.A.	Éticos
4537890	GH0000	BROMALEX COMP 3 MG X 40	Bromazepam	Comprimido	NÃO	Não atribuido	 	Adultos – Ambulatório: 1,5 a 3 mg, 1 a 3 x/dia; Internamento: 6 a 12 mg , 1 a 3 	3,39	Faes Farma Portugal, S.A.	Éticos
4538096	GH0000	BROMALEX COMP 6 MG X 40	Bromazepam	Comprimido	NÃO	Não atribuido	 	Adultos – Ambulatório: 1,5 a 3 mg, 1 a 3 x/dia; Internamento: 6 a 12 mg , 1 a 3 	4,07	Faes Farma Portugal, S.A.	Éticos
2032985	GH0000	NORMACOL PLUS CART GRN 7 G X 30	Bassorina + Amieiro negro	Granulado	NÃO	Não atribuido	 	Adultos: 1 ou 2 saq. 1 a 2 x/dia após as principais refeições 	9,75	Norgine Portugal Farmacêutica Unipessoal, Lda.	NETT
2034288	GH0000	VICKS INALADOR SOL INAL 1 G	Cânfora + Mentol	Solução para inalação por vaporização	NÃO	Não atribuido	Procter & Gamble, S.A.	 	4,15	Laboratorios Vicks, S.L.	NETT

3211786	GH0000	CALCIUM D SANDOZ COMP EF X 60	Carbonato de cálcio + Colecalciferol	Comprimido efervescente	NÃO	Não atribuido	 	Adultos: 1 a 2 comp./dia	8,29	Sandoz Farmacêutica, Lda.	Éticos

2046688	GH0000	LOVENOX INJ SER 20 MG/0,2 ML X 2	Enoxaparina sódica	Solução injetável	NÃO	Não atribuido	 	Adultos: dose de acordo com a indicação terapêutica 	4,71	Sanofi - Produtos Farmacêuticos, Lda.	Éticos
2047280	GH0000	DECAPEPTYL INJ SER 3,75 MG	Triptorrelina	Pó e veículo para suspensão injetável	NÃO	Não atribuido	 	 	127,13	Ipsen Portugal - Produtos Farmacêuticos, S.A.	Éticos

2047397	GH0000	PROTON CAPS 20 MG X 14	Omeprazol	Cápsula gastrorresistente	NÃO	Não atribuido	 	Adultos: 20 a 60 mg/dia, de acordo com indicação terapêutica 	9,50	Medinfar Consumer Health - Produtos Farmacêuticos, Lda.	NETT
2050490	GH0000	TUNELUZ CAPS 20 MG X 20	Fluoxetina	Cápsula	SIM	Não atribuido	 	Adulto e idoso: Episódio depressivo major - 1-3 cáps./dia. Perturbação 	7,10	Baldacci - Portugal, S.A.	Éticos
2051795	GH0474	ZYRTEC SOL OR 1 MG/ML 150 ML	Cetirizina	Solução oral	NÃO	Cetirizina | A112 | Oral | 1 mg/ml | >149 ml	 	Crianças 2 - 6 anos: ½ colher-medida (2,5 mg), 2x/dia; 	5,06	UCB Pharma (Produtos Farmacêuticos), Lda.	Éticos
2055184	GH0666	SIRDALUD COMP 2 MG X 10	Tizanidina	Comprimido	NÃO	Tizanidina | A101 | Oral | 2 mg | [1-20] unidades	 	Adulto - Dose inicial: 1 comp., de 8/8h. Dose habitual - Espasmos musculares 	2,54	Sandoz Farmacêutica, Lda.	Éticos
2055283	GH0667	SIRDALUD COMP 2 MG X 50	Tizanidina	Comprimido	NÃO	Tizanidina | A101 | Oral | 2 mg | [21-60] unidades	 	Adulto - Dose inicial: 1 comp., de 8/8h. Dose habitual - Espasmos musculares 	5,06	Sandoz Farmacêutica, Lda.	Éticos
2055580	GH0000	SIRDALUD MR CAPS 6 MG X 30	Tizanidina	Cápsula de libertação modificada	NÃO	Não atribuido	 	Adulto - Espasticidade (perturbações neurológicas): Dose inicial - 1 cápsula, de 	19,55	Sandoz Farmacêutica, Lda.	Éticos
2065894	GH0000	FLEXAR INJ 20 MG/ML X 6	Piroxicam	Solução injetável	NÃO	Não atribuido	 	Adultos (IM): máximo de 20 mg/dia	4,07	A. Menarini Portugal - Farmacêutica, S.A.	Éticos

3644689	GH0000	CLIMODIEN COMP REV 2+2 MG  3X28	Dienogest + Valerato de estradiol	Comprimido revestido	NÃO	Não atribuido	 	Tratamento contínuo: 1 comp/dia, 28 dias por mês 	24,32	Bayer Portugal, Lda.	Éticos
2074482	GH0000	DUMOZOL CREME CR 1% 25 G	Metronidazol	Creme	NÃO	Não atribuido	 	 	6,07	Generis Farmacêutica, S.A.	Éticos

2074797	GH0000	HALDOL COMP  1 MG X 60	Haloperidol	Comprimido	NÃO	Não atribuido	 	Adulto: Como antipsicótico - fase aguda: 2-20 mg/ml (apresentação em sol. oral), 	2,68	Janssen Farmacêutica Portugal, Lda.	Éticos
2074896	GH0000	HALDOL COMP  2 MG X 60	Haloperidol	Comprimido	NÃO	Não atribuido	 	 	3,93	Janssen	Éticos

2074995	GH0000	HALDOL COMP  5 MG X 60	Haloperidol	Comprimido	NÃO	Não atribuido	 	Adulto: Como antipsicótico - fase aguda: 2-20 mg/ml (apresentação em sol. oral), 	5,37	Janssen Farmacêutica Portugal, Lda.	Éticos
2075091	GH0000	HALDOL COMP 10 MG X 60	Haloperidol	Comprimido	NÃO	Não atribuido	 	 	9,76	Janssen Farmacêutica Portugal, Lda.	Éticos

2078285	GH0000	INIBACE COMP 5 MG X 56	Cilazapril	Comprimido revestido por película	NÃO	Não atribuido	 	 	35,00	Roche Farmacêutica Química, Lda.	Éticos

2081982	GH0000	PRAXILENE COMP REV 200 MG X 20	Naftidrofurilo	Comprimido revestido	NÃO	Não atribuido	 	Adultos: 1 comp. 2 a 3 x/dia	4,82	Merck	Éticos

2082089	GH0000	PRAXILENE COMP REV 200 MG X 60	Naftidrofurilo	Comprimido revestido	NÃO	Não atribuido	 	Adultos: 1 comp. 2 a 3 x/dia	11,98	Merck	Éticos

2087492	GH0000	INDIANO CALICIDA PDA 5 G	Ácido salicílico	Pomada	NÃO	Não atribuido	Sociedade Farmacêutica Gestafarma, Lda	Aplicar diáriamente, ao deitar e ao levantar. Duração do tratamento 5 a 6 	6,40	Sociedade Farmacêutica Gestafarma, Lda.	NETT
2090090	GH0000	HEMOFISSURAL PASTA 20 G	Óxido de zinco + Dióxido de titânio + Tetracaína	Pasta cutânea	NÃO	Não atribuido	 	Aplicação local, interna (c/ a cânula) ou exterior (sobre a lesão), 1 a 2 x/dia 	9,65	Baldacci - Portugal, S.A.	NETT
